Statistiche Fantacalcio Stagione 2021 22;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4426;D;"Dd;Ds;E";Toljan;Sassuolo;19;5,84;5,84;0;0;0;0;0;0;1;2;0;0
4775;D;"Dd;Dc";Tuanzebe;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4888;D;Dc;Sutalo;Verona;18;5,78;5,78;0;0;0;0;0;0;0;0;0;0
4891;D;Dc;Soumaoro;Bologna;27;5,83;5,57;0;0;0;0;0;0;0;6;2;1
4925;D;"Ds;Dc";Carboni A.;Cagliari;28;5,64;5,46;0;0;0;0;0;0;0;6;0;1
5354;D;"Ds;E";Ruggeri;Salernitana;13;5,85;5,81;0;0;0;0;0;0;0;1;0;0
5509;D;"Ds;E";Vina;Roma;23;5,74;5,74;0;0;0;0;0;0;1;2;0;0
5677;D;Dc;Perez N.;Udinese;20;5,75;5,65;0;0;0;0;0;0;1;6;0;0
5691;D;Dc;Zima;Torino;18;5,89;5,81;0;0;0;0;0;0;0;3;0;0
5718;D;Dc;Viti;Empoli;19;5,82;5,63;0;0;0;0;0;0;0;1;1;1
140;D;"Dd;Ds;E";Hysaj;Lazio;27;5,63;5,69;1;0;0;0;0;0;0;3;0;0
226;D;"Dd;Dc";Izzo;Torino;9;5,83;5,61;0;0;0;0;0;0;0;4;0;0
259;D;Dc;Murillo;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
550;D;"Dd;Dc";Maksimovic;Genoa;14;5,75;5,68;0;0;0;0;0;0;0;2;0;0
630;D;"Dd;E";Sala;Spezia;15;5,83;5,93;1;0;0;0;0;0;0;3;0;0
1868;D;"Ds;E";Murru;Sampdoria;19;5,53;5,58;1;0;0;0;0;0;0;5;0;0
2192;D;Dc;Bonifazi;Bologna;17;5,65;5,41;0;0;0;0;0;0;0;2;1;1
2312;D;Dc;Hristov;Spezia;16;5,5;5,66;1;0;0;0;0;0;1;3;0;0
2572;D;Dc;Godin;Cagliari;11;5,5;5,45;0;0;0;0;0;0;1;3;0;0
4461;D;"Dd;E";Zappa;Cagliari;21;5,74;5,64;0;0;0;0;0;0;0;2;1;0
4495;D;Dc;Kumbulla;Roma;13;5,77;5,58;0;0;0;0;0;0;0;6;0;0
5323;D;Dc;Martinez Quarta;Fiorentina;18;5,81;5,75;1;0;0;0;0;0;0;8;0;0
5365;D;Dc;Dragusin;Salernitana;18;5,72;5,67;0;0;0;0;0;0;0;2;0;0
5480;D;"Dd;E";Ebuehi;Venezia;17;5,59;5,5;0;0;0;0;0;0;0;1;1;0
5484;D;Dc;Svoboda;Venezia;18;5,53;5,42;0;0;0;0;0;0;0;2;1;0
5527;D;"Dd;Ds;E";Zanoli;Napoli;6;5,92;5,75;0;0;0;0;0;0;0;2;0;0
5804;D;"Ds;E";Cacace;Empoli;8;5,81;5,75;0;0;0;0;0;0;0;1;0;0
15;D;"Dd;Dc";Masiello;Genoa;7;5,64;5,43;0;0;0;0;0;0;0;3;0;0
73;D;"Ds;Dc";Gagliolo;Salernitana;14;5,61;5,61;0;0;0;0;0;0;1;2;0;0
144;D;Dc;Tonelli;Empoli;13;5,5;5,19;0;0;0;0;0;0;0;4;0;1
261;D;Dc;Ranocchia;Inter;6;5,92;5,83;0;0;0;0;0;0;0;1;0;0
329;D;"Ds;Dc";Radu;Lazio;8;5,56;5,44;0;0;0;0;0;0;0;2;0;0
390;D;"Ds;E";Ghoulam;Napoli;5;6;5,9;0;0;0;0;0;0;0;1;0;0
418;D;Dc;Goldaniga;Cagliari;11;5,64;5,5;0;0;0;0;0;0;0;3;0;0
459;D;Dc;Manolas;Napoli;4;5,62;5,5;0;0;0;0;0;0;0;1;0;0
758;D;Dc;Mantovani;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
791;D;"Dd;E";Sabelli;Genoa;7;5,71;5,5;0;0;0;0;0;0;0;3;0;0
805;D;"Dd;E";Fiamozzi;Empoli;8;5,62;5,69;0;0;0;0;0;0;1;1;0;0
2116;D;"Dd;E";Farago';Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
